#TYPE Selected.System.Management.Automation.PSCustomObject
"Identity"
"NT AUTHORITY\SYSTEM"
"BUILTIN\Administrators"
"NT AUTHORITY\INTERACTIVE"
"NT AUTHORITY\SERVICE"
"BUILTIN\Server Operators"
"NT AUTHORITY\Authenticated Users"
"BUILTIN\Users"
"APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES"
"NT SERVICE\TrustedInstaller"
"NT SERVICE\TermService"
"BUILTIN\Network Configuration Operators"
"CONSOLE LOGON"
"NT AUTHORITY\NETWORK SERVICE"
"NT AUTHORITY\LOCAL SERVICE"
"NT SERVICE\Dhcp"
"BUILTIN\Backup Operators"
"Everyone"
"LOCAL"
"NT SERVICE\KtmRm"
"NT SERVICE\napagent"
"NT SERVICE\MSDTC"
"NT SERVICE\NlaSvc"
"NT SERVICE\ScDeviceEnum"
"S-1-5-80-4130899010-3337817248-2959896732-3640118089-1866760602"
"NT SERVICE\DPS"
